user_id,personal_number,affiliation,namae,phone_number,user_class,position,attendance_suspension,login_pass,delflag,lastupdate
1,63545,財務部,遠藤 修平,090-0064-3962,教員,非常勤,FALSE,_0TUFPlmGM,FALSE,2025-07-10 07:31:05
2,T124432,機械電子工学科,佐藤 七夏,08-7506-5408,学生,,FALSE,z%w@B3VgdA,FALSE,2025-07-10 07:31:05
3,48175,教務部,清水 修平,090-5231-1282,職員,専任,FALSE,$0_e8Us^3h,FALSE,2025-07-10 07:31:05
4,47762,財務部,佐藤 里佳,080-4192-6224,職員,臨時,FALSE,)br+2SyqAm,FALSE,2025-07-10 07:31:05
5,T125521,機械電子工学科,木村 あすか,21-8831-9721,学生,,FALSE,%9xwAgwD04,FALSE,2025-07-10 07:31:05
6,T122291,情報応用工学科,高橋 知実,32-1076-2445,学生,,FALSE,sW*9rWtMvK,FALSE,2025-07-10 07:31:05
7,T125787,機械電子工学科,橋本 学,080-0386-5551,学生,,FALSE,Z3O^bYTk(P,FALSE,2025-07-10 07:31:05
8,91930,教務部,中島 桃子,090-6094-4983,教員,特任,FALSE,%n*SknsLs8,FALSE,2025-07-10 07:31:05
9,T122471,情報応用工学科,山崎 翔太,85-2593-2012,学生,,FALSE,_d8As5Vpb*,FALSE,2025-07-10 07:31:05
10,T124655,情報応用工学科,山本 裕樹,55-0618-4606,学生,,FALSE,@74!8AGora,FALSE,2025-07-10 07:31:05
11,T125725,機械電子工学科,渡辺 英樹,56-2948-6136,学生,,FALSE,^S9Y5Xc#7Q,FALSE,2025-07-10 07:31:05
12,28643,教務部,田中 英樹,070-1576-8932,教員,専任,FALSE,m&A_Y9QhBk,FALSE,2025-07-10 07:31:05
13,T122681,機械電子工学科,石川 香織,080-4012-6805,学生,,FALSE,Hznp!2Evy),FALSE,2025-07-10 07:31:05
14,T124441,機械電子工学科,井上 洋介,090-2309-8078,学生,,FALSE,@eeLat@Q)8,FALSE,2025-07-10 07:31:05
15,T123801,情報応用工学科,山口 花子,07-2355-7961,学生,,FALSE,sK95NWjp!d,FALSE,2025-07-10 07:31:05
16,T123923,機械電子工学科,福田 英樹,090-5684-3682,学生,,FALSE,5nU0oAtl&8,FALSE,2025-07-10 07:31:05
17,62760,財務部,渡辺 零,070-2529-0206,教員,非常勤,FALSE,o%4KZMzxuK,FALSE,2025-07-10 07:31:05
18,T124216,機械電子工学科,伊藤 洋介,080-5581-8248,学生,,FALSE,$n3L2CVt^),FALSE,2025-07-10 07:31:05
19,67382,教務部,井上 篤司,070-3983-7071,教員,非常勤,FALSE,K+gd81@h2F,FALSE,2025-07-10 07:31:05
20,T122163,機械電子工学科,小川 康弘,06-3680-4619,学生,,FALSE,Ja4RRkh_G!,FALSE,2025-07-10 07:31:05
21,T125018,機械電子工学科,福田 陽一,090-0083-3814,学生,,FALSE,0)^%4HTI@h,FALSE,2025-07-10 07:31:05
22,89135,財務部,坂本 聡太郎,090-5744-5773,教員,専任,FALSE,(5cGn)zmsA,FALSE,2025-07-10 07:31:05
23,T122376,情報応用工学科,村上 洋介,90-4876-5231,学生,,FALSE,$(9S3dY&Yg,FALSE,2025-07-10 07:31:05
24,T125954,情報応用工学科,小林 裕太,19-5345-7219,学生,,FALSE,Gm!08!Iy(_,FALSE,2025-07-10 07:31:05
25,T125144,機械電子工学科,福田 充,090-4341-7798,学生,,FALSE,0AE&m0Yx@u,FALSE,2025-07-10 07:31:05
26,T124368,情報応用工学科,吉田 健一,38-2468-4355,学生,,FALSE,^)6UZy+S%N,FALSE,2025-07-10 07:31:05
27,T125138,情報応用工学科,小林 知実,070-8280-3677,学生,,FALSE,T^9_a1Li1p,FALSE,2025-07-10 07:31:05
28,T123934,機械電子工学科,池田 あすか,98-7838-2264,学生,,FALSE,x#0mYPpu#e,FALSE,2025-07-10 07:31:05
29,T125770,機械電子工学科,佐々木 香織,070-3244-9513,学生,,FALSE,^ANEeUst91,FALSE,2025-07-10 07:31:05
30,33789,財務部,山崎 翔太,080-1819-4591,教員,非常勤,FALSE,^AC4De_Y1u,FALSE,2025-07-10 07:31:05
31,T125351,機械電子工学科,渡辺 康弘,35-6957-0748,学生,,FALSE,U9AVXfeV_9,FALSE,2025-07-10 07:31:05
32,21959,財務部,加藤 学,070-4106-7904,職員,嘱託,FALSE,Nv19LmXi%*,FALSE,2025-07-10 07:31:05
33,63529,財務部,鈴木 健一,02-6275-4851,教員,特任,FALSE,@mTK4v3vY8,FALSE,2025-07-10 07:31:05
34,T124757,情報応用工学科,高橋 篤司,64-0981-6387,学生,,FALSE,O_2Q(qTmCV,FALSE,2025-07-10 07:31:05
35,31081,財務部,阿部 拓真,070-4467-8041,職員,嘱託,FALSE,+j0QqQfET$,FALSE,2025-07-10 07:31:05
36,T124855,機械電子工学科,中川 さゆり,27-9151-2295,学生,,FALSE,Fv*I%@7r+7,FALSE,2025-07-10 07:31:05
37,T123185,機械電子工学科,西村 稔,080-6020-6429,学生,,FALSE,F3CxNW#X(0,FALSE,2025-07-10 07:31:05
38,82112,教務部,山田 春香,090-6138-1959,教員,特任,FALSE,+6q25Ib0KE,FALSE,2025-07-10 07:31:05
39,T122362,機械電子工学科,橋本 陽一,070-2174-1547,学生,,FALSE,QjX1+STSx$,FALSE,2025-07-10 07:31:05
40,T123039,機械電子工学科,小林 直子,080-8140-1737,学生,,FALSE,QuN$pcgr#7,FALSE,2025-07-10 07:31:05
41,T122479,機械電子工学科,鈴木 千代,01-5682-6102,学生,,FALSE,!2PE#vUxMf,FALSE,2025-07-10 07:31:05
42,T125566,情報応用工学科,高橋 あすか,090-6211-6167,学生,,FALSE,@#5D05h%df,FALSE,2025-07-10 07:31:05
43,96213,財務部,田中 和也,02-0775-4106,教員,特任,FALSE,LoRs7nGz&6,FALSE,2025-07-10 07:31:05
44,T122223,情報応用工学科,吉田 涼平,080-0522-1294,学生,,FALSE,$1%_P!AdK6,FALSE,2025-07-10 07:31:05
45,T124136,機械電子工学科,木村 太郎,070-4259-0331,学生,,FALSE,cpB8PRL*z+,FALSE,2025-07-10 07:31:05
46,91621,財務部,岡田 聡太郎,91-6224-9072,教員,非常勤,FALSE,3$I34HzpmE,FALSE,2025-07-10 07:31:05
47,T123821,情報応用工学科,鈴木 和也,090-6272-3342,学生,,FALSE,K*9JRumm$Q,FALSE,2025-07-10 07:31:05
48,T122841,機械電子工学科,清水 聡太郎,070-0562-3144,学生,,FALSE,#EWrXoxf8+,FALSE,2025-07-10 07:31:05
