action_record_id,personal_number,action_record_date,action_record_Time,aestination,transportation,departure,arrival,companion,companion_relationship,companion_count,companion_name,mask_usage,delflag,lastupdate
1,63545,2025-07-01,12:35:00,コンビニ,バス,下諏訪町,下諏訪町,TRUE,,3,佐々木 千代,時々着用,FALSE,2025-07-10 07:38:42
2,63545,2025-07-02,16:19:00,駅,自動車,諏訪市,諏訪市,FALSE,,0,,時々着用,FALSE,2025-07-10 07:38:42
3,63545,2025-07-03,15:19:00,飲食店,自転車,下諏訪町,岡谷市,FALSE,,0,中村 加奈,時々着用,FALSE,2025-07-10 07:38:42
4,63545,2025-07-04,08:49:00,大学,徒歩,下諏訪町,諏訪市,TRUE,,1,,時々着用,FALSE,2025-07-10 07:38:42
5,63545,2025-07-05,10:15:00,コンビニ,電車,茅野市,岡谷市,TRUE,,3,,常に着用,FALSE,2025-07-10 07:38:42
6,63545,2025-07-06,13:12:00,コンビニ,自転車,下諏訪町,諏訪市,TRUE,,3,中村 あすか,未着用,FALSE,2025-07-10 07:38:42
7,63545,2025-07-07,08:08:00,コンビニ,電車,諏訪市,下諏訪町,TRUE,同僚,3,,常に着用,FALSE,2025-07-10 07:38:42
8,63545,2025-07-08,13:06:00,図書館,バス,茅野市,茅野市,TRUE,,0,後藤 花子,時々着用,FALSE,2025-07-10 07:38:42
9,63545,2025-07-09,10:35:00,病院,自動車,下諏訪町,茅野市,TRUE,,0,,時々着用,FALSE,2025-07-10 07:38:42
10,63545,2025-07-10,15:19:00,駅,自転車,茅野市,岡谷市,TRUE,家族,0,,未着用,FALSE,2025-07-10 07:38:42
11,T124432,2025-07-02,16:41:00,図書館,バス,岡谷市,諏訪市,TRUE,友人,3,,未着用,FALSE,2025-07-10 07:38:42
12,T124432,2025-07-04,14:09:00,駅,自転車,下諏訪町,富士見町,FALSE,同僚,0,,常に着用,FALSE,2025-07-10 07:38:42
13,T124432,2025-07-05,09:09:00,大学,電車,茅野市,諏訪市,TRUE,,0,,未着用,FALSE,2025-07-10 07:38:42
14,T124432,2025-07-06,15:13:00,コンビニ,バス,諏訪市,富士見町,TRUE,家族,1,,常に着用,FALSE,2025-07-10 07:38:42
15,T124432,2025-07-07,14:40:00,自宅,徒歩,岡谷市,下諏訪町,TRUE,友人,0,山田 あすか,未着用,FALSE,2025-07-10 07:38:42
16,T124432,2025-07-08,13:16:00,コンビニ,自転車,諏訪市,諏訪市,TRUE,,2,,未着用,FALSE,2025-07-10 07:38:42
17,T124432,2025-07-09,14:20:00,図書館,電車,諏訪市,諏訪市,FALSE,,0,藤井 直子,未着用,FALSE,2025-07-10 07:38:42
18,T124432,2025-07-10,16:28:00,病院,自動車,岡谷市,諏訪市,FALSE,,2,,未着用,FALSE,2025-07-10 07:38:42
19,48175,2025-07-01,09:58:00,図書館,自動車,諏訪市,諏訪市,TRUE,,1,林 結衣,常に着用,FALSE,2025-07-10 07:38:42
20,48175,2025-07-02,15:09:00,図書館,電車,茅野市,下諏訪町,FALSE,友人,0,鈴木 充,未着用,FALSE,2025-07-10 07:38:42
21,48175,2025-07-04,16:48:00,大学,バス,諏訪市,下諏訪町,FALSE,,3,,時々着用,FALSE,2025-07-10 07:38:42
22,48175,2025-07-05,17:37:00,飲食店,電車,富士見町,茅野市,FALSE,,0,,未着用,FALSE,2025-07-10 07:38:42
23,48175,2025-07-07,12:11:00,図書館,徒歩,下諏訪町,諏訪市,TRUE,,0,吉田 陽子,未着用,FALSE,2025-07-10 07:38:42
24,48175,2025-07-08,13:14:00,大学,自転車,富士見町,茅野市,FALSE,友人,0,藤田 さゆり,時々着用,FALSE,2025-07-10 07:38:42
25,48175,2025-07-09,11:57:00,飲食店,自動車,下諏訪町,岡谷市,FALSE,,0,,未着用,FALSE,2025-07-10 07:38:42
26,47762,2025-07-01,17:41:00,大学,バス,茅野市,茅野市,FALSE,家族,0,,未着用,FALSE,2025-07-10 07:38:42
27,47762,2025-07-02,15:43:00,駅,自転車,諏訪市,茅野市,TRUE,,1,,時々着用,FALSE,2025-07-10 07:38:42
28,47762,2025-07-03,17:08:00,駅,自転車,下諏訪町,岡谷市,FALSE,友人,3,,未着用,FALSE,2025-07-10 07:38:42
29,47762,2025-07-04,08:41:00,図書館,電車,茅野市,諏訪市,TRUE,,0,,時々着用,FALSE,2025-07-10 07:38:42
30,47762,2025-07-06,14:54:00,飲食店,バス,富士見町,富士見町,TRUE,友人,0,坂本 治,常に着用,FALSE,2025-07-10 07:38:42
31,47762,2025-07-07,11:47:00,図書館,自転車,下諏訪町,岡谷市,TRUE,,0,石井 浩,常に着用,FALSE,2025-07-10 07:38:42
32,47762,2025-07-08,15:34:00,飲食店,自転車,諏訪市,岡谷市,TRUE,,3,,未着用,FALSE,2025-07-10 07:38:42
33,47762,2025-07-09,08:30:00,病院,バス,茅野市,岡谷市,TRUE,,1,渡辺 結衣,未着用,FALSE,2025-07-10 07:38:42
